name,accuracy,ari,nmi,inertia,time
Original,0.48441428571428574,0.34820478995898085,0.5049751819342504,30508820.45972288,24.151338577270508
PCA_90%,0.5201428571428571,0.36890995218834144,0.5067646102818371,25437890.377166748,4.670432090759277
PCA_95%,0.48324285714285714,0.335537035791472,0.48886133391679426,27790114.31717709,8.826571702957153
PCA_Elbow,0.5186571428571428,0.34116170247449207,0.49598134054184245,23383176.37947441,3.3567354679107666
